year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,809300.0,803700.0,164525.0,610475.0,111175.0,499075.0,37.0,400.0,36.0,200.0,0.0,750.0
2016,771000.0,814275.0,142600.0,640825.0,117925.0,511625.0,37.0,400.0,36.0,200.0,0.0,500.0
2017,737725.0,821900.0,124300.0,662650.0,124350.0,527325.0,37.0,400.0,36.0,200.0,225.0,43725.0
2018,708550.0,826850.0,109225.0,680050.0,129700.0,543875.0,37.0,400.0,36.0,200.0,0.0,35450.0
2019,682050.0,830075.0,97450.0,693375.0,133775.0,561525.0,37.0,400.0,36.0,200.0,134125.0,55000.0
2020,658750.0,832300.0,87800.0,704375.0,136725.0,578300.0,37.0,400.0,36.0,200.0,167975.0,61625.0
2021,637400.0,833250.0,79250.0,713550.0,138900.0,595900.0,37.0,400.0,36.0,200.0,156900.0,61225.0
2022,617050.0,834225.0,72325.0,720925.0,141075.0,612650.0,37.0,400.0,36.0,200.0,150.0,49250.0
2023,598650.0,834325.0,66675.0,726950.0,142825.0,628825.0,37.0,400.0,36.0,200.0,100.0,29325.0
2024,581275.0,834125.0,61725.0,732175.0,144275.0,644675.0,37.0,400.0,36.0,200.0,525.0,43950.0
2025,564650.0,833675.0,57375.0,736775.0,145800.0,659975.0,37.0,400.0,36.0,200.0,100.0,18500.0
2026,549800.0,832100.0,53450.0,740825.0,146800.0,675275.0,37.0,400.0,36.0,200.0,0.0,19375.0
2027,535850.0,830525.0,49975.0,744400.0,147550.0,689950.0,37.0,400.0,36.0,200.0,6350.0,51875.0
2028,523050.0,828375.0,46550.0,747900.0,147925.0,704450.0,37.0,400.0,36.0,200.0,166725.0,50850.0
2029,510925.0,827325.0,43525.0,751050.0,148450.0,716975.0,37.0,400.0,36.0,200.0,575.0,38875.0
2030,499100.0,825200.0,41100.0,753550.0,149075.0,730225.0,37.0,400.0,36.0,200.0,325.0,38625.0
2031,487575.0,823150.0,38675.0,756000.0,149400.0,743450.0,37.0,400.0,36.0,200.0,2850.0,15400.0
2032,475875.0,822000.0,36300.0,758375.0,149800.0,755900.0,37.0,400.0,36.0,200.0,141100.0,41075.0
2033,465200.0,820600.0,34125.0,760550.0,150075.0,767700.0,37.0,400.0,36.0,200.0,0.0,35900.0
2034,454400.0,819500.0,31975.0,762700.0,150350.0,779325.0,37.0,400.0,36.0,200.0,350.0,9275.0
2035,444525.0,817975.0,30175.0,764525.0,150375.0,790675.0,37.0,400.0,36.0,200.0,125.0,37125.0
2036,435625.0,816525.0,28575.0,766225.0,150350.0,800950.0,37.0,400.0,36.0,200.0,5225.0,30700.0
2037,426850.0,814450.0,27075.0,767750.0,150300.0,811825.0,37.0,400.0,36.0,200.0,5575.0,41025.0
2038,418450.0,812700.0,25800.0,769025.0,150225.0,822050.0,37.0,400.0,36.0,200.0,125.0,39425.0
2039,410225.0,811150.0,24700.0,770125.0,150225.0,831825.0,37.0,400.0,36.0,200.0,204000.0,38925.0
2040,402675.0,809250.0,23650.0,771200.0,150325.0,841150.0,37.0,400.0,36.0,200.0,6450.0,38900.0
2041,395400.0,807275.0,22700.0,772175.0,150300.0,850400.0,37.0,400.0,36.0,200.0,171925.0,37450.0
2042,388500.0,805325.0,21700.0,773200.0,150375.0,859150.0,37.0,400.0,36.0,200.0,13225.0,37325.0
2043,382350.0,803575.0,20800.0,774125.0,150125.0,867275.0,37.0,400.0,36.0,200.0,211325.0,35525.0
2044,376475.0,802100.0,19925.0,775000.0,150025.0,874725.0,37.0,400.0,36.0,200.0,167450.0,34925.0
2045,370500.0,800025.0,19075.0,775850.0,150025.0,882775.0,37.0,400.0,36.0,200.0,5400.0,37100.0
2046,364875.0,798425.0,18350.0,776575.0,150025.0,890000.0,37.0,400.0,36.0,200.0,110875.0,34500.0
2047,359425.0,796500.0,17700.0,777225.0,149975.0,897425.0,37.0,400.0,36.0,200.0,212475.0,33425.0
2048,353825.0,794650.0,17175.0,777750.0,150075.0,904775.0,37.0,400.0,36.0,200.0,203725.0,32850.0
2049,348625.0,792775.0,16700.0,778225.0,150025.0,911900.0,37.0,400.0,36.0,200.0,67175.0,33700.0
2050,343275.0,790950.0,16200.0,778725.0,149875.0,919225.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,338625.0,788725.0,15850.0,779075.0,149950.0,926025.0,37.0,400.0,36.0,200.0,0.0,0.0
