'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34',
2015,'B2',0.2,16342.2535,38975.667,33813.00475,10024.68875,72725.5835,16313.095,12828.2985,41811.292,22848.819,24958.80775,23042.0535,25369.22675,14448.57775,47831.98375,167694.853,134951.4175,353501.3678,50763.564,157757.7315
2015,'B2',0.1,16306.558,38976.6495,33788.32875,9993.44625,72759.892,16314.6635,12798.46225,41829.91025,22818.36875,24957.54725,23088.488,25400.4145,14440.962,47831.38725,167833.9837,134785.2065,353473.691,50759.178,157757.7315
2015,'B2',1,16338.39325,39048.9885,33801.26,10047.7775,72715.78025,16314.30075,12810.9645,41767.304,22850.3245,24930.19275,23017.4895,25369.1635,14456.689,47847.774,167819.9752,134777.7652,353468.628,50794.266,157757.7315
2015,'B2',0.5,16339.721,39057.3275,33758.2015,9969.81075,72723.3565,16287.871,12841.93775,41818.07475,22860.7185,24880.3305,23086.95625,25416.21125,14454.208,47857.08175,167753.451,134861.079,353494.7253,50754.792,157743.87
2016,'B2',0.1,16293.19325,39379.10425,33934.46825,9964.93975,73885.8115,16240.04775,12791.38325,43507.08075,22937.09775,25060.7525,23011.1395,25971.32025,14447.62875,47687.8575,171228.9155,135484.081,357423.9675,100328.288,321656.1075
2016,'B2',1,16325.0285,39451.4795,33941.86325,10022.8105,73836.9345,16240.8895,12806.622,43450.3225,22969.446,25038.127,22936.8155,25936.93125,14457.0165,47722.99275,171214.907,135453.2732,357414.2865,100410.16,321656.1075
2016,'B2',0.5,16322.41525,39458.32025,33902.34425,9941.70575,73856.4395,16212.85375,12840.33175,43483.63725,22979.5915,24988.7025,23011.07875,25981.2425,14455.00025,47713.6785,171147.2245,135549.6467,357433.6633,100323.902,321628.3845
2016,'B2',0.2,16339.50725,39359.097,33956.746,10003.7785,73858.582,16237.67625,12821.2195,43500.35025,22971.56975,25076.2725,22963.77775,25937.73425,14456.78725,47712.5885,171090.133,135657.2632,357483.0983,100335.598,321656.1075
2017,'B2',1,16249.03325,39371.754,34031.90625,9944.155,74674.7105,16195.1315,12276.13,44575.73025,22834.59525,24062.141,22734.9255,26237.92025,14463.2925,47552.5275,173534.9947,133540.7895,357651.4253,146692.694,490073.3325
2017,'B2',0.5,16257.671,39346.78775,33990.72875,9848.64425,74701.41525,16165.63375,12319.85975,44584.11375,22906.4815,24064.96925,22800.22025,26285.3695,14458.13825,47584.80925,173457.2922,133664.818,357730.033,146568.424,490066.4017
2017,'B2',0.1,16206.519,39293.53075,34024.51125,9873.55425,74727.127,16193.88825,12271.8475,44598.4175,22820.0085,24109.6205,22797.1785,26281.72325,14450.76675,47515.5215,173587.5427,133522.5152,357648.693,146488.014,490094.1247
2017,'B2',0.2,16249.7385,39241.73875,34051.5855,9920.951,74709.428,16194.84225,12309.20775,44577.5565,22877.80675,24149.61525,22750.316,26246.65775,14461.58375,47540.2705,173405.3125,133772.3312,357741.0278,146559.652,490087.194
2018,'B2',0.2,16332.12325,39725.37475,34145.23125,9897.9825,75401.02825,16172.6965,12302.17275,45706.3925,23172.9905,24170.01875,22958.58625,26450.492,14461.58375,47608.9225,175632.473,134632.164,360896.673,192865.578,662517.3233
2018,'B2',1,16326.203,39805.40225,34130.3485,9914.0905,75366.31075,16175.10675,12300.53675,45641.5085,23140.18175,24152.80125,22931.68725,26441.01475,14466.4305,47597.7615,175805.2557,134365.4917,360791.6225,193020.55,662503.4618
2018,'B2',0.1,16297.90725,39721.20925,34113.3605,9860.08,75415.18775,16173.462,12314.60125,45750.689,23108.4755,24186.04475,23014.62225,26488.6955,14456.303,47594.8975,175780.5497,134502.0772,360900.638,192821.718,662524.254
2018,'B2',0.5,16322.91325,39836.651,34094.70725,9826.92375,75401.2165,16147.4725,12310.90025,45665.171,23172.22275,24067.233,23003.82725,26482.92775,14461.27625,47610.50375,175696.6045,134463.2207,360793.4425,192834.876,662489.6003
2019,'B2',0.2,15954.56075,28950.8285,33978.1285,9848.7145,56550.84125,16152.0365,12245.647,45013.6725,22976.16975,20247.11225,22802.02175,26597.80275,14464.72175,46651.9925,145670.2667,130589.3615,325782.2578,237424.414,802303.62
2019,'B2',1,15987.36625,29343.2735,33959.91125,9865.526,56756.10025,16152.58325,12267.12575,44973.852,22976.6975,20197.595,22736.969,26578.17175,14474.365,46738.33925,145892.5375,130740.2997,326269.5365,237696.346,802795.7033
2019,'B2',0.5,15995.81825,29865.5005,33887.19425,9794.8205,56429.66725,16126.0095,12279.40775,45077.78175,22976.18275,20461.336,22821.54475,26627.1005,14461.27625,46752.924,146541.458,130610.898,326803.64,237569.152,803197.6868
2019,'B2',0.1,15982.061,29627.77275,33936.7635,9845.04375,57037.08325,16153.605,12198.24025,45110.96525,22908.005,20374.1895,22826.001,26623.45425,14468.11525,46764.11125,146804.5785,130617.3192,327091.2998,237389.326,803627.3933
2020,'B2',1,14892.35375,29385.52975,30365.23625,9767.5915,55109.326,15789.948,12271.92975,44349.8075,21429.10775,20514.85675,22754.61075,26689.13375,14474.365,44404.623,140662.0612,130092.1207,317793.7965,280107.504,936988.8848
2020,'B2',0.5,14998.984,29567.0895,30283.50425,9639.454,54448.0515,15680.9865,12277.558,44193.1845,21541.13975,20713.26425,22831.04975,26729.16575,14461.27625,44517.03325,139988.4167,130217.3357,317364.708,280047.562,936871.062
2020,'B2',0.1,15001.129,29237.855,30388.16775,9683.362,54667.3455,15745.8365,12254.35875,44449.503,21333.5635,20371.259,22859.30925,26734.81775,14468.11525,44443.21775,140399.4205,129772.4385,317194.6223,279616.272,937224.5303
2020,'B2',0.2,15017.47175,29759.77475,30087.6405,9758.5005,54803.497,15771.60025,12259.18375,44291.877,21472.82075,20400.90275,22816.69575,26706.70475,14470.99775,44504.1585,140033.104,130570.1667,317617.6673,279777.092,936247.2945
2021,'B2',0.2,15135.22175,29796.7935,34175.987,9812.37975,55344.59725,15877.669,12406.65675,42060.0135,21604.2005,21649.97575,22806.368,26786.86925,14470.99775,44654.96025,143237.1307,131137.2787,321927.7298,321996.728,1075444.478
2021,'B2',0.5,15133.50525,29958.94725,34111.06725,9753.428,55299.80975,15849.966,12344.76175,41965.8555,21484.958,21490.3345,22885.84675,26803.05425,14466.8125,44701.18375,142889.6042,131059.1987,321548.3468,322264.274,1075770.223
2021,'B2',0.1,15119.00925,29565.284,34135.844,9810.6985,55198.91525,15888.88475,12244.61625,42090.391,21371.4315,21615.89675,22864.19825,26806.7095,14468.11525,44689.07975,142937.4092,130655.1452,321179.9943,321736.492,1075756.361
2021,'B2',1,15116.29825,30297.06025,34129.14525,9847.8145,55169.60475,15874.28325,12324.92325,41761.8885,21494.34725,21615.13575,22787.87825,26764.1635,14474.365,44653.376,143134.0457,130950.3337,321656.9078,322366.614,1076068.245
2022,'B2',0.2,15301.86525,41589.4985,34206.36225,9901.56175,76853.61825,15846.4945,12393.63025,47095.3695,22596.733,24409.8995,22813.88375,26830.49625,14476.534,44911.61625,180183.572,136197.645,364315.9468,364653.502,1257099.435
2022,'B2',1,15308.8025,41697.3345,34196.36025,9919.4525,76793.84875,15825.34125,12316.39,47105.3155,22639.0995,24389.985,22790.7885,26814.80625,14480.641,44998.942,180348.6207,135907.4892,364278.1655,365125.728,1257730.133
2022,'B2',0.1,15248.7415,41586.4685,34199.0965,9869.4095,76853.482,15861.42875,12271.15,47128.03325,22554.137,24353.93625,22869.75825,26859.7505,14470.5135,44929.085,180364.672,135809.035,364125.9055,364247.066,1257404.388
2022,'B2',0.5,15304.0965,41689.08475,34148.4465,9851.70275,76843.05025,15818.01675,12364.55875,47179.89875,22631.27075,24313.06225,22884.374,26855.01725,14466.8125,45026.18025,180254.4902,136045.6077,364349.3918,365051.166,1257439.042
2023,'B2',1,15558.60525,41829.57325,34274.40975,9925.3005,76989.10325,15817.6535,12519.57125,48406.81625,22653.97075,24395.09075,22807.412,26859.944,14486.17725,45801.16375,181036.158,136663.1925,366523.6278,409017.892,1440833.618
